Smiles,Et(30)
C[Si](C)(C)C,31.1
CCC(C)C,30.8
CCCCC,30.9
CCCCCC,30.9
CCCCC=C,32.4
C#CCCCC,34.3
CCCCCCC,30.9
CCCCCCCC,31
CCCCCCCCC,30.8
CCCCCCCCCC,30.8
CCCCCCCCCCCC,31
C1CCCCC1,30.8
C1CCCC=C1,32.2
C12CCCCC1CCCC2,31.2
C1(CCCC2)=C2C=CC=C1,33.5
C=CC1=CC=CC=C1,34.8
CCCCI,34.9
CCCI,35.7
CCCCBr,36.6
CCCCCl,36.9
CCCBr,36.9
C#CCCl,41.7
BrC(Br)([H])[H],39.4
IC(I)([H])[H],36.5
ClC(Cl)(Cl)[H],39.1
BrC(Br)(Br)[H],37.7
ClC(Cl)(Cl)Cl,32.4
CCBr,37.8
CC(Cl)Cl,39.4
ClCCCl,41.3
BrCCBr,38.3
CC(Cl)(Cl)Cl,36.2
ClC(Cl)CCl,40.3
ClC(Cl)(Cl)C(F)(F)F,33.8
ClC(Cl)C(Cl)Cl,39.7
ClC(Cl)(Cl)C(Cl)Cl,36.7
C=C(Cl)Cl,37
Cl/C=C/Cl,34.2
Cl/C=C\Cl,42.1
Cl/C(Cl)=C\Cl,35.9
Cl/C(Cl)=C(Cl)\Cl,31.8
CCCCl,37.4
ClCCC(F)(F)F,40.7
CC(Cl)(Cl)C,37.9
FC(Cl)(F)C(F)(Cl)C(F)(F)F,33.6
ClCC(Cl)CCl,40.4
ClC(Cl)(Cl)/C(Cl)=C(Cl)\Cl,32.8
ClCCCCCl,39.7
Cl/C(Cl)=C(Cl)\C(Cl)=C(Cl)/Cl,32.1
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,32.7
ClC1CCCCC1,36.2
ClCCCCCCCCCCCl,36.7
C1(CC2=CC=CC=C2)=CC=CC=C1,34.4
CC1=C(F)C(F)=C(F)C(F)=C1F,35.9
C1=CC=CC=C1,34.3
CC1=CC=CC=C1,33.9
FC(F)(F)C1=CC=CC=C1,38.7
CC1=CC=C(C)C=C1,33.1
CC1=CC(C)=CC(C)=C1,32.9
CC1=C(C)C(C)=C(C)C=C1,32.9
C#CC1=CC=CC=C1,37.2
C1(C2CCCCC2)=CC=CC=C1,34.2
CC1=CC=CC2=CC=CC=C21,35.3
FC1=C(F)C=CC=C1,39.3
FC1=CC=C(F)C=C1,36.4
FC1=CC(F)=CC(F)=C1,33.2
FC1=C(F)C(F)=C(F)C(F)=C1,38.6
FC1=C(F)C(F)=C(F)C(F)=C1F,34.2
ClC1=CC=CC=C1,36.8
ClC1=C(Cl)C=CC=C1,38
ClC1=CC(Cl)=CC=C1,36.7
ClC1=C(Cl)C=C(Cl)C=C1,36.2
BrC1=CC=CC=C1,36.6
BrC1=C(Br)C=CC=C1,37.6
BrC1=CC(Br)=CC=C1,36.5
IC1=CC=CC=C1,36.2
ClC1=CC=CC2=C1C=CC=C2,37
IC1=CC=CC2=C1C=CC=C2,36.9
CN1C=CC=C1,39
C1=CC=CN1,51
C1=CN=CC=C1,40.5
CC1=NC=CC=C1,38.3
CC1=CC=NC=C1,39.6
CC1=C(C)C=NC=C1,38.9
CC1=NC(C)=CC=C1,36.9
CC(C)(C)C1=NC(C(C)(C)C)=CC=C1,34
CC1=NC(C)=CC(C)=C1,36.4
FC1=NC=CC=C1,42.4
BrC1=CC=CN=C1,39.7
FC1=NC(F)=CC=C1,43.3
FC1=NC(F)=C(F)C(F)=C1F,36.3
N#CC1=NC=CC=C1,44.2
BrCCO,56.1
FCCO,56.6
CO,55.4
OCC1=CC=CC=C1,50.7
CCO,51.8
OCCC1=CC=CC=C1,49.7
OCCOC,52
OCCOCCCC,50
SCCO,53.6
NCCO,51.8
OCCC#N,59.3
ClCCO,55.1
FC(F)(F)CO,59.8
ClC(Cl)(Cl)CO,54.1
CCCO,50.5
OCC(F)(F)C(F)F,59.4
OCCCC1=CC=CC=C1,48.5
C=CCO,51.9
C#CCO,55.8
CC(O)C,48.4
OC(C(F)(F)F)C(F)(F)F,65.3
CC(O)COC,48.6
CC(O)CN,50.1
OCCCC,49.7
OCC(N)CC,50.2
CC(C)CO,49.1
CC(O)(C)C,43.3
CCCCCO,49.3
CCCC(O)C,46.5
CCC(O)CC,45.7
CCC(C)CO,48
CC(C)CCO,49
CCC(O)(C)C,41
CC(C)C(O)C,45.7
CCCCCCO,48.9
CCC(CC)(O)CC,38.5
CC(C)C(O)C(C)C,40.1
CCCCCCCCO,48.3
CCCCCCCCCO,47.8
CC(C)C(O)(CC)C(C)C,37.9
CCCCCCCCCCO,48
CCCCCCCCCCCO,47.6
OCCCCCCCCCCCC,47.5
OC1CCCC1,47
OC1CCCCC1,47.2
OCC1=CC=CO1,50.3
OCC1CCCO1,50.3
OCCO,56.3
OC(C)CO,54.1
OCC(O)CO,57
OCC(O)CC,52.6
OCCC(O)C,52.8
OCCCCO,53.5
CC(O)C(O)C,51.8
OCCCCCO,51.9
OCCOCCO,53.8
OCCOCCOCCO,52.8
OCCOCCOCCOCCO,52.2
OCCSCCO,54.5
OCCN(CCO)CCO,55.4
OC1=CC=CC=C1,54.3
OC1=C(C)C=CC=C1,51.9
OC1=CC(C)=CC=C1,56.2
OC1=CC=C(C)C=C1,53.3
OC1=C(CC)C=CC=C1,50.2
OC1=CC(CC)=CC=C1,51.6
OC1=CC=C(CC)C=C1,50.2
OC1=C(C(C)C)C=CC=C1,50.4
OC1=C(C(C)(C)C)C=CC=C1,49.2
OC1=CC=C(C(C)(C)C)C=C1,50.4
OC1=C(C)C(C)=CC=C1,45.1
OC1=C(C)C=C(C)C=C1,50.3
OC1=CC(C)=CC(C)=C1,47.5
OC1=C(C)C=CC(C(C)C)=C1,48.7
OC1=C(C(C)C)C=CC(C)=C1,48.4
OC1=C(C(C)(C)C)C=C(C)C=C1,46.8
OC1=C(C(C)(C)C)C=C(C(C)(C)C)C=C1,46.2
OC1=C(C(C)(C)C)C=CC=C1C(C)(C)C,41.8
OC1=C(C)C(C)=CC(C)=C1,45.8
OC1=C(C)C(C)=CC=C1C,42.9
OC1=C(C(C)(C)C)C=C(C)C=C1C(C)(C)C,41.9
OC1=CC=C(F)C=C1,55.5
OC1=C(Cl)C=CC=C1,54.7
OC1=CC=C(Cl)C=C1,54.4
OC1=CC=C(Br)C=C1,52.2
OC1=C(Cl)C=CC=C1Cl,46.3
OC1=CC(C)=C(Cl)C=C1,51
OC1=CC=C(OC)C=C1,45.4
OC1=C(OC)C=CC=C1OC,41.8
OC1=CC(OC)=CC(OC)=C1,50.8
CC(OC1=CC(O)=CC=C1)=O,53.2
OC1=C(C(OC)=O)C=CC=C1,45.4
OC1=C(C(OC2=CC=CC=C2)=O)C=CC=C1,41.9
OC1=C(N)C=CC=C1,47.2
OC1=CC(N)=CC=C1,47.1
OC1=C([N+]([O-])=O)C=CC=C1,44.4
OC1=CC=C(C#N)C=C1,52.2
CC(C)(C)OC(C)(C)C,33.1
CC1(C)OC(C)(C)CC1,34.3
CCCCSCCCC,34.4
CCCCOC,34.8
CC(C)SC(C)C,34.9
CCSCC,35.7
C1CSCCC1,35.9
COC1=CC(C)=CC=C1,36.4
COCC1=CC=CC=C1,36.6
CSSC,37.8
C#CCOC,39.7
COCCCl,40.4
CCOCC,34.5
ClCCOCCCl,41.7
CCOC=C,36.2
CC(C)OC(C)C,34
CCCCOCCCC,33
CCC(OC)(C)C,34.4
[H]C(OC)OC,35.8
[H]C(OCC)OCC,33.9
COCCOC,38.2
CCOCCOCCOCC,37.5
CC1CO1,39.8
ClCC1CO1,44.5
C1=CC=CO1,36.1
C1CCCO1,37.5
CC1CCCO1,36.5
CC1CCC(C)O1,35.1
C1=CC=CS1,35.4
C1CCCS1,36.7
C1COCO1,43.1
COC1OCCO1,44.5
C1COCCC1,36.2
CC1COCCC1,35.5
CC1(C(C)=O)COCOC1,41.5
C1COCCO1,36
COC1=CC=CC=C1,37.1
CSC1=CC=CC=C1,37
CCOC1=CC=CC=C1,36.7
COC1=C(OC)C=CC=C1,38.4
C1(COCC2=CC=CC=C2)=CC=CC=C1,36.4
C1(OC2=CC=CC=C2)=CC=CC=C1,35.3
CC(C)(C)C(C(C)(C)C)=O,36.3
CC(C)=O,42.3
O=C(C)C(Cl)(Cl)Cl,45.9
O=C(C)CC,41.3
O=C(C)CCC,41.1
O=C(CC)CC,39.9
CC(C(C)C)=O,40.9
CC(CCCC)=O,40.1
CC(CC(C)C)=O,39.4
CC(C(C)(C)C)=O,39
O=C(CCC)CCC,38.9
O=C(C(C)C)C(C)C,38.6
O=C(CCCC)CCCC,37.5
O=C1CCCC1,40
CC(C1=CC=CC=C1)=O,40.6
CC(CC(C)=O)=O,49.2
[H]C(O)=O,54.3
CC(O)=O,51.7
OC(CC)=O,50.5
CC(OC(C)=O)=O,43.9
COC(CCCCCCC/C=C/C/C=C/CCCCC)=O,34.6
COC(CCCCCCCCCCC)=O,35
COC(CCCCCCCCC)=O,35.2
COC(CCCCCCC)=O,35.6
COC(CCCCC)=O,36.3
COC(CCC)=O,37.2
CCC(OCC)=O,37.3
