SMILES,RT
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,10.9
N#CC1=C(O)C(C2=C(C(C)(C)C)NC3=C2C=CC=C3)=C4C=CC=CC4=C1,5.7
OC1=C(Br)C=C2C=CC=CC2=C1C3=C(C(C)(C)C)NC4=C3C=CC=C4,17.4
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)CC)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,8.7
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C45C[C@H]6C[C@@](C5)([H])C[C@H](C6)C4)NC7=C3C=CC=C7)=C8C=CC=CC8=C2,10.6
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(CC5)CCC5CC4)NC6=C3C=CC=C6)=C7C=CC=CC7=C2,11.2
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(C)CCCC4)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,11.5
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C4(C)CCC4)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,12.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)C)NC4=C3C=CC=C4)=C5C=CC=CC5=C2,14.5
O=C(C1=CC2=C(NC(C(C)(C)C)=C2C3=C4C=CC=CC4=CC(C(OC5=CC=CC=C5C(C)C)=O)=C3O)C=C1)OC,10.7
O=C(OC1=CC=CC=C1)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC=CC6=C2,15.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C(F)=CC=C4)=C5C=CC=CC5=C2,10.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C(Cl)=CC=C4)=C5C=CC=CC5=C2,11.2
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(OC)C=C4)=C5C=CC=CC5=C2,9.5
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C)C=C4)=C5C=CC=CC5=C2,12.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(F)C=C4)=C5C=CC=CC5=C2,13.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(Br)C=C4)=C5C=CC=CC5=C2,6.4
O=C(C1=CC2=C(NC(C(C)(C)C)=C2C3=C4C=CC=CC4=CC(C(OC5=CC=CC=C5C(C)C)=O)=C3O)C=C1)OC,23
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C(F)(F)F)C=C4)=C5C=CC=CC5=C2,7.8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C#N)C=C4)=C5C=CC=CC5=C2,10.7
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(C)=C4)=C5C=CC=CC5=C2,14.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(F)=C4)=C5C=CC=CC5=C2,8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC(Cl)=C4)=C5C=CC=CC5=C2,7.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4C)=C5C=CC=CC5=C2,7.1
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC(Br)=CC5=C2,9.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=CC=C4)=C5C=CC(C6=CC=CC=C6)=CC5=C2,13.4
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(C)C=C4)=C5C=CC(Br)=CC5=C2,14.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C)C)NC4=C3C=C(OC)C=C4)=C5C=CC(Br)=CC5=C2,9.8
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(Br)=CC6=C2,12.9
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(OC)=CC6=C2,13.3
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(OC)=CC6=C2,19
O=C(OC1=CC=CC=C1C(C)C)C2=C(O)C(C3=C(C(C)(C4=CC=CC=C4)C)NC5=C3C=CC=C5)=C6C=CC(CCCC)=CC6=C2,16.7
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3,7.798
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(OC)C=C3,13.323
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(OC(F)(F)F)C=C3,17.685
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(F)C=C3,16.792
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=CC=C3F,9.605
O=C(OCC)[C@](NC1=C(F)C(F)=C(C(F)(F)F)C(F)=C1F)(C2=CC=CC=C2)/C=C/C3=CC=C(Cl)C=C3,9.848
O=C(N1C=C(/C=C/[C@@](NC2=C(F)C(F)=C(C(F)(F)F)C(F)=C2F)(C3=CC=CC=C3)C(OCC)=O)C4=C1C=CC=C4)OC(C)(C)C,11.147
