iter	Passed	Remaining
0	3	3709
1	5	3198
2	6	2722
3	9	2782
4	12	2900
5	14	2907
6	16	2884
7	19	2889
8	21	2877
9	24	2884
10	26	2900
11	29	2900
12	31	2886
13	33	2873
14	36	2863
15	38	2855
16	40	2852
17	44	2921
18	47	2934
19	47	2814
20	50	2824
21	52	2821
22	55	2822
23	57	2822
24	60	2824
25	62	2829
26	65	2826
27	65	2753
28	68	2754
29	70	2745
30	72	2744
31	76	2787
32	78	2788
33	81	2791
34	83	2787
35	86	2786
36	87	2755
37	90	2752
38	92	2762
39	95	2761
40	97	2758
41	100	2757
42	102	2756
43	104	2756
44	107	2752
45	110	2771
46	112	2769
47	116	2796
48	118	2792
49	121	2791
50	123	2788
51	126	2790
52	130	2827
53	133	2825
54	136	2835
55	137	2813
56	140	2808
57	142	2805
58	144	2801
59	147	2796
60	151	2820
61	153	2816
62	155	2812
63	158	2808
64	160	2805
65	162	2799
66	167	2830
67	170	2835
68	172	2832
69	175	2828
70	177	2824
71	181	2838
72	183	2837
73	186	2835
74	188	2830
75	191	2826
76	193	2821
77	195	2818
78	198	2813
79	201	2819
80	203	2814
81	206	2810
82	208	2812
83	211	2808
84	213	2804
85	216	2802
86	218	2798
87	221	2793
88	223	2790
89	225	2786
90	228	2782
91	230	2779
92	233	2783
93	236	2780
94	239	2783
95	241	2779
96	244	2776
97	246	2773
98	250	2781
99	252	2777
100	254	2773
101	257	2769
102	259	2765
103	261	2760
104	264	2758
105	266	2754
106	269	2750
107	271	2746
108	274	2743
109	275	2726
110	277	2722
111	280	2728
112	283	2726
113	285	2721
114	288	2717
115	290	2715
116	292	2711
117	295	2707
118	298	2711
119	300	2707
120	303	2704
121	305	2701
122	308	2698
123	310	2695
124	313	2694
125	315	2691
126	318	2687
127	320	2684
128	322	2680
129	325	2682
130	328	2678
131	331	2679
132	333	2676
133	335	2672
134	338	2669
135	340	2666
136	343	2663
137	345	2661
138	348	2657
139	350	2655
140	352	2651
141	356	2656
142	358	2653
143	361	2653
144	364	2650
145	366	2646
146	369	2644
147	371	2640
148	373	2636
149	376	2633
150	378	2632
151	381	2628
152	383	2625
153	386	2621
154	388	2618
155	390	2615
156	393	2612
157	396	2614
158	398	2612
159	401	2609
160	403	2606
161	411	2638
162	416	2647
163	418	2643
164	421	2641
165	424	2643
166	428	2648
167	430	2644
168	432	2641
169	435	2637
170	437	2634
171	440	2631
172	444	2636
173	447	2637
174	449	2635
175	452	2631
176	454	2628
177	457	2629
178	461	2634
179	464	2632
180	467	2629
181	469	2626
182	471	2622
183	474	2620
184	477	2620
185	481	2625
186	483	2621
187	486	2618
188	488	2615
189	491	2612
190	493	2608
191	496	2606
192	498	2603
193	501	2599
194	503	2595
195	506	2592
196	509	2593
197	514	2603
198	516	2599
199	519	2596
200	521	2592
201	524	2589
202	526	2586
203	529	2583
204	531	2580
205	533	2576
206	536	2572
207	539	2573
208	542	2570
209	544	2566
210	546	2562
211	549	2558
212	551	2555
