iter	RMSE
0	10.87322963
1	10.67448581
2	10.50681067
3	10.34164093
4	10.17961152
5	10.02842493
6	9.876245793
7	9.72055817
8	9.597149614
9	9.491470445
10	9.337823595
11	9.221426057
12	9.138457791
13	9.039506655
14	8.926549902
15	8.80585053
16	8.704814364
17	8.60516149
18	8.487640577
19	8.408455698
20	8.343443731
21	8.258797723
22	8.172966648
23	8.111753202
24	8.03607424
25	7.973543225
26	7.871804293
27	7.783041421
28	7.695239768
29	7.625312487
30	7.534669149
31	7.464851751
32	7.405972804
33	7.333391889
34	7.263974229
35	7.203142428
36	7.14529877
37	7.076864911
38	7.026774488
39	6.972160457
40	6.928518357
41	6.873141563
42	6.84369435
43	6.77425388
44	6.714350694
45	6.662862703
46	6.608680624
47	6.558523268
48	6.508543562
49	6.457833695
50	6.422401213
51	6.382335567
52	6.338087821
53	6.303870539
54	6.255924494
55	6.22484158
56	6.189134381
57	6.155306855
58	6.121298621
59	6.093951164
60	6.057036056
61	6.019171171
62	5.989648993
63	5.981660101
64	5.95490967
65	5.921563432
66	5.88828632
67	5.866301206
68	5.845892187
69	5.805431726
70	5.779860897
71	5.751407094
72	5.714076898
73	5.686676261
74	5.662556524
75	5.62820091
76	5.600068232
77	5.586206339
78	5.547270886
79	5.516814392
80	5.493208733
81	5.471757092
82	5.447224271
83	5.42503363
84	5.415744864
85	5.397670798
86	5.365748205
87	5.336128035
88	5.314934908
89	5.289588759
90	5.257172307
91	5.220740901
92	5.20652274
93	5.183676096
94	5.16361085
95	5.142551589
96	5.124288305
97	5.10575185
98	5.086751398
99	5.068842074
100	5.045724452
101	5.033050618
102	5.014219153
103	4.994760692
104	4.96387985
105	4.933562403
106	4.922115297
107	4.90474594
108	4.897753208
109	4.878417266
110	4.859128445
111	4.844863883
112	4.832933475
113	4.823395813
114	4.792801329
115	4.771631306
116	4.762137233
117	4.742759344
118	4.730074565
119	4.70658363
120	4.678230421
121	4.666532705
122	4.64754894
123	4.613296397
124	4.600150078
125	4.585786248
126	4.572237408
127	4.551688824
128	4.533092908
129	4.521720593
130	4.502998605
131	4.494177257
132	4.471957283
133	4.46166317
134	4.445110584
135	4.431758499
136	4.424866264
137	4.415610023
138	4.407645672
139	4.396497915
140	4.385152161
141	4.376591722
142	4.367157986
143	4.353098679
144	4.330118261
145	4.311826004
146	4.303203557
147	4.289485189
148	4.281577672
149	4.267680749
