SMILES,Solvent_1_SMILES,Solvent_2_SMILES,SR,Flow_rate,IB,IB3,IB3N,IBH,IBU,DOI,Left_Time,Right_Time
CC(C)(C)OC(=O)N[C@H](c1ccc(F)cc1)C(C(=O)C#Cc1cccs1)[C@H](NC(=O)OC(C)(C)C)c1ccc(F)cc1,CCCCCCC,CC(O)C,95.0,0.8,1,0,0,0,0,10.1021/acs.orglett.0c00318,8.4,11.06
O=P(c1ccccc1)(c1ccccc1)c1ccc2ccccc2c1-c1c(-c2ccccc2)nnn1Cc1cccc2ccccc12,CCCCCC,CC(O)C,70.0,1.0,1,0,0,0,0,10.1021/jacs.2c01985,6.94,8.99
O=C(c1ccccc1)N1C(=O)[C@@H](Cc2cccc(Cl)c2)N(C(=O)c2ccccc2)c2ccccc21,CCCCCC,CC(O)C,90.0,0.6,1,0,0,0,0,10.1021/acs.orglett.9b01520,20.1,25.5
Cc1ccc(S(=O)(=O)N2C[C@]3(C)C[C@]3(C3=CN(S(C)(=O)=O)C[C@](C)(Cc4ccccc4)CC3=O)C2)cc1,CCCCCC,CC(O)C,80.0,1.0,1,0,0,0,0,10.1021/jacs.2c09814,25.3,31.2
CC(C)(C)[Si](C)(C)Oc1ccc2ccc(-c3cccc(Cl)c3)cc2c1-c1cc(=O)oc(-c2ccccc2)c1-c1ccccc1NC(=S)Nc1cc(C(F)(F)F)cc(C(F)(F)F)c1,CCCCCC,CC(O)C,90.0,1.0,1,0,0,0,0,10.1021/acscatal.2c05570,10.373,13.455
C=C=C[C@@H](CC(=O)c1ccccc1)C1=CC=C(Br)CC1,CCCCCC,CC(O)C,99.0,0.5,1,0,0,0,0,10.1002/anie.202115821,14.3,16.4
CN(C)C(=O)[C@@H]1[C@@H](P(=S)(c2ccccc2)c2ccccc2)CCC[C@@]1(O)c1ccc(C(F)(F)F)cc1,CCCCCC,CC(O)C,90.0,1.0,1,0,0,0,0,10.1021/acs.orglett.3c03836,6.4,8.0
C[C@@]1(c2ccsc2)C=Cc2cc(Br)ccc2N1,CCCCCC,CC(O)C,97.0,1.0,1,0,0,0,0,10.1021/acs.orglett.1c00978,10.9,11.6
COc1ccc([C@@H]2C(=O)N(S(=O)(=O)c3ccc(C)cc3)C(c3ccccc3)=C[C@H]2c2ccc(F)cc2)cc1,CCCCCC,CC(O)C,80.0,1.0,1,0,0,0,0,10.1021/acs.orglett.4c00029,10.085,19.146
COC(=O)CC1c2ccccc2C(C#Cc2ccccc2)N1c1ccc(Br)cc1,CCCCCC,CC(O)C,98.0,0.5,0,1,0,0,0,10.1021/acs.orglett.9b01507,12.68,13.44
C/C(=C\c1ccccc1)[C@@H](O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1,CCCCCC,CC(O)C,90.0,0.5,1,0,0,0,0,10.1021/jacs.1c03527,13.096,16.963
CN1C(=O)[C@]([C@@H]2CCCCC2=O)(N(C(=O)[O-])C(C)(C)C)c2c(F)cccc21,C(=O)=O,CO,90.0,1.5,1,0,0,0,0,10.1021/acs.orglett.0c03305,2.31,2.83
CC(C)(C)OC(=O)Nc1cc(N(Cc2ccccc2)Cc2ccccc2)ccc1-c1c(O)c(C(=O)OCc2ccccc2)cc2ccccc12,CCCCCC,CC(O)C,90.0,1.0,1,0,0,0,0,10.1002/anie.202110430,10.99,12.41
CC(=O)Oc1ccc(CC[C@@]2(C)CN(Cc3ccccc3)Cc3ccccc32)cc1,CCCCCC,CC(O)C,98.0,0.5,1,0,0,0,0,10.1021/acs.orglett.0c00688,16.6,18.4
COC(=O)c1ccc2c(=O)n(-c3c(C)ccc4cccnc34)c(CC(=O)OCc3ccccc3)cc2c1,CCCCCC,CC(O)C,70.0,1.0,0,0,0,1,0,10.1021/acs.orglett.3c01685,20.14,38.42
C1=CC2(CCCC2)O[C@@H]1Cc1ccccc1,CCCCCC,CC(O)C,99.9,1.0,1,0,0,0,0,10.1021/jacs.8b12833,9.59,14.71
COC(=O)c1cc(Br)cc(P(c2ccccc2)c2cc(Br)cc(C=O)c2)c1,CCCCCC,CC(O)C,97.0,0.4,1,0,0,0,0,10.1002/anie.202404477,22.9,30.6
C=C[C@@H]1COC(c2ccc(OC)cc2)=C1C(=O)OC,CCCCCC,CC(O)C,99.0,0.5,1,0,0,0,0,10.1021/acs.orglett.2c00253,18.2,19.5
