iter	RMSE
0	44.5529928
1	44.25692371
2	43.97170781
3	43.69241068
4	43.49707297
5	43.22542573
6	42.94875446
7	42.71976587
8	42.47202971
9	42.20482723
10	41.97176376
11	41.75458769
12	41.50042919
13	41.28356897
14	41.02752281
15	40.77944228
16	40.57183701
17	40.31989984
18	40.1143001
19	39.86322979
20	39.62131984
21	39.39292502
22	39.14188831
23	38.90630289
24	38.66437784
25	38.42661692
26	38.18728029
27	37.95304965
28	37.77370481
29	37.53624545
30	37.30502582
31	37.07153739
32	36.85168819
33	36.60948043
34	36.40351979
35	36.18347718
36	35.96674232
37	35.7655509
38	35.55178821
39	35.37224127
40	35.18211336
41	34.96945634
42	34.76068472
43	34.54890819
44	34.35265399
45	34.14497621
46	33.94284913
47	33.74342448
48	33.57741063
49	33.38152355
50	33.18633256
51	33.02243174
52	32.85785051
53	32.66234294
54	32.47253583
55	32.31391794
56	32.12622582
57	31.96121925
58	31.77678474
59	31.59472215
60	31.41404824
61	31.27711155
62	31.09496302
63	30.94420369
64	30.79432843
65	30.6106224
66	30.44368383
67	30.26577137
68	30.11239036
69	29.94831604
70	29.78260443
71	29.60774845
72	29.4411706
73	29.27007394
74	29.10022675
75	28.9359653
76	28.81591951
77	28.65580705
78	28.49689027
79	28.35857566
80	28.21141144
81	28.05065377
82	27.89105835
83	27.73380181
84	27.60326646
85	27.47072317
86	27.31861044
87	27.18537636
88	27.02739337
89	26.89997649
90	26.77450084
91	26.65018214
92	26.50163177
93	26.3626314
94	26.22063518
95	26.06449404
96	25.93896079
97	25.78947473
98	25.667086
99	25.53470718
100	25.39718881
101	25.25646828
102	25.14059337
103	25.01104314
104	24.87804078
105	24.75332522
106	24.63697526
107	24.52016628
108	24.38256919
109	24.25068591
110	24.14718026
111	24.0156713
112	23.90702276
113	23.78183556
114	23.66504309
115	23.54878068
116	23.42601676
117	23.32115425
118	23.19946657
119	23.07667473
120	22.95731563
121	22.83192113
122	22.72800011
123	22.58644049
124	22.46540129
125	22.36641403
126	22.25956654
127	22.16181788
128	22.05533843
129	21.94119093
130	21.84486433
131	21.74499697
132	21.63546652
133	21.51746169
134	21.4245459
135	21.31287568
136	21.20558544
137	21.12041769
138	21.01657472
139	20.91299246
140	20.83588628
141	20.72154352
142	20.61941493
143	20.52283601
144	20.42782271
145	20.3235082
146	20.22101705
147	20.11003239
148	20.01204574
149	19.91157508
150	19.82694982
151	19.73154005
152	19.63417027
153	19.53901326
154	19.458031
155	19.37688793
156	19.28462177
157	19.16485407
158	19.06702438
159	18.97678068
160	18.88504923
161	18.80032969
162	18.71499218
163	18.62490998
164	18.53658301
165	18.44976315
166	18.3372229
167	18.22432767
168	18.13976644
169	18.05550312
170	17.98301655
171	17.8974309
172	17.81495451
173	17.7426988
174	17.66134686
175	17.58396785
176	17.51555682
177	17.43499532
178	17.36671188
179	17.2987903
180	17.2207296
181	17.1377171
182	17.06415203
183	16.98528888
184	16.91346668
185	16.84539602
186	16.76770738
187	16.68044372
188	16.60122403
189	16.50094441
190	16.42554978
191	16.36005479
192	16.29010018
193	16.21621179
194	16.14619211
195	16.0761715
196	16.02320704
197	15.95458054
198	15.89322778
199	15.82545973
200	15.77028614
201	15.70323028
202	15.63473489
203	15.57593754
204	15.47856325
205	15.41514734
206	15.35782816
207	15.25970851
208	15.17463045
209	15.11979542
210	15.02506514
211	14.97851753
212	14.91430808
213	14.81869863
214	14.75500973
215	14.66353553
216	14.60283319
217	14.55333629
218	14.46696176
219	14.37927522
220	14.29995616
