iter	Passed	Remaining
0	1	1021
1	1	683
2	2	552
3	2	489
4	2	472
5	4	590
6	5	588
7	6	690
8	7	652
9	7	622
10	8	602
11	8	577
12	9	554
13	9	535
14	9	520
15	10	507
16	11	540
17	12	529
18	12	528
19	13	525
20	14	519
21	14	510
22	14	501
23	15	493
24	15	485
25	16	477
26	16	470
27	16	464
28	17	458
29	17	453
30	18	468
31	19	462
32	19	459
33	20	454
34	20	448
35	20	441
36	20	432
37	21	428
38	21	422
39	22	419
40	22	415
41	22	411
42	23	409
43	23	404
44	23	400
45	24	409
46	25	407
47	25	404
48	25	397
49	26	391
50	26	390
51	28	404
52	31	448
53	32	445
54	32	442
55	33	439
56	33	436
57	33	433
58	34	430
59	34	428
60	35	425
61	35	419
62	35	417
63	36	414
64	37	421
65	37	417
66	37	415
67	38	411
68	38	409
69	39	407
70	39	405
71	39	402
72	40	399
73	40	396
74	40	395
75	41	390
76	41	392
77	43	407
78	45	411
79	45	413
80	46	416
81	47	419
82	48	420
83	49	418
84	50	423
85	51	424
86	51	425
87	52	425
88	53	425
89	53	425
90	54	425
91	55	425
92	55	422
93	56	422
94	56	418
95	57	418
96	58	422
97	59	429
98	60	427
99	60	426
100	61	424
101	61	423
102	62	421
103	62	419
104	63	420
105	64	420
106	64	418
107	65	422
108	66	422
109	67	421
110	67	420
111	68	421
112	69	422
113	70	423
114	71	423
115	71	424
116	72	426
117	74	429
118	74	428
119	75	427
120	75	426
121	76	427
122	77	428
123	78	428
124	79	426
125	79	423
126	79	421
127	79	419
128	81	423
129	81	422
130	82	420
131	82	418
132	82	415
133	83	413
134	83	411
135	83	409
136	85	412
137	85	411
138	86	409
139	86	407
140	86	405
141	88	409
142	88	407
143	89	405
144	89	404
145	89	402
146	90	401
147	90	399
148	91	397
149	91	395
150	91	394
151	92	392
152	92	391
153	93	390
154	93	388
155	93	387
156	94	386
157	94	384
158	95	383
159	95	381
160	96	381
161	96	379
162	96	378
163	97	377
164	97	375
165	98	374
166	98	373
167	99	372
168	99	371
169	100	370
170	100	369
171	100	368
172	101	367
173	102	368
174	102	367
175	103	366
176	103	364
177	104	363
178	104	362
179	105	361
180	105	360
181	105	359
182	106	358
183	106	357
184	107	355
185	107	354
186	107	353
187	108	352
188	108	351
189	108	349
190	109	348
191	109	347
192	110	346
193	111	347
194	111	346
195	112	345
196	112	344
197	113	344
198	113	343
199	114	343
200	114	342
201	115	341
202	115	340
203	116	339
204	116	338
205	117	339
206	118	339
207	118	337
208	119	336
209	119	335
210	119	334
211	120	333
212	120	333
213	121	332
214	121	331
215	122	329
216	123	330
217	123	329
218	123	328
219	124	327
220	125	327
221	125	326
222	125	325
223	126	324
224	127	324
225	128	326
226	129	325
227	129	324
228	129	323
229	130	322
230	130	321
231	131	320
232	131	319
233	131	319
234	132	318
235	132	317
236	133	316
237	133	315
