predicted_ee,Ligand
89.3642807006836,N[C@@H](CN1CCCCC1)C(C)(C)C
76.05233001708984,N[C@H](CCCC1)[C@@H]1N2CCCCC2
68.94625854492188,N[C@H]([C@@H](N(CC)CC)C1=CC=CC=C1)C2=CC=CC=C2
61.16204071044922,N[C@H](C1=CC=CC=C1)[C@H](N(C)C)C2=CC=CC=C2
57.68320083618164,N[C@H]([C@@H](N1CCCC1)C2=CC=CC=C2)C3=CC=CC=C3
53.26324462890625,N[C@H](C1=CC=CC=C1)[C@H](N)C2=CC=CC=C2
44.57997131347656,CN[C@H]1[C@@H](CCCC1)NC
42.257652282714844,N[C@H]1[C@@H](CCCC1)N2CCCC2
40.188419342041016,N[C@H](C1=CC=CC=C1)[C@@H](C2=CC=CC=C2)N3CCCCC3
36.41016387939453,N[C@H]([C@@H](NS(=O)(C)=O)C1=CC=CC=C1)C2=CC=CC=C2
